"","year","sex","recruit","lb","ub","recruit_tons"
"1",1978,"Male",3878658.87082942,2735235.23696824,5500073.42437524,2902.89302271825
"2",1979,"Male",3020702.5658688,1908318.03097259,4781511.17547001,2260.77535926549
"3",1980,"Male",787012.964043338,234159.924749004,2645155.46900779,589.021751640063
"4",1981,"Male",1381941.56570133,743869.131632583,2567336.6588309,1034.28238019315
"5",1982,"Male",560172.471435485,208196.828063225,1507194.90144608,419.248202279045
"6",1983,"Male",541446.748571907,264014.155497579,1110412.36022581,405.233365693426
"7",1984,"Male",830680.065244173,482306.556403242,1430686.27542593,621.703389190501
"8",1985,"Male",1241709.97535506,709643.492732783,2172701.75614342,929.329271725064
"9",1986,"Male",1115708.29126468,632963.476240785,1966630.04726552,835.026209306354
"10",1987,"Male",1027870.76282717,570112.39238717,1853175.4776476,769.286231410451
"11",1988,"Male",2708755.87302952,1929370.61214597,3802980.27423092,2027.30603178387
"12",1989,"Male",1394435.17671042,829014.06483596,2345496.34864419,1043.63293599985
"13",1990,"Male",1634749.27184406,1078020.66497181,2478992.53569928,1223.49049327843
"14",1991,"Male",1788700.61355759,1211312.2087483,2641309.03811118,1338.71183410306
"15",1992,"Male",2039061.06986864,1416465.44029664,2935313.44173361,1526.08835933858
"16",1993,"Male",1237990.42754038,776307.823285135,1974243.01637971,926.545461712764
"17",1994,"Male",1495543.1352506,1050038.72247361,2130063.60767939,1119.3048620862
"18",1995,"Male",1509063.7750829,1011241.76102098,2251957.50912052,1129.42407399397
"19",1996,"Male",640497.181601928,341189.458925427,1202371.96345998,479.365384134786
"20",1997,"Male",464167.148418321,250866.850182382,858826.670459492,347.395226389279
"21",1998,"Male",330710.946691832,170531.754198787,641345.2484299,247.513001699727
"22",1999,"Male",356111.798049862,218895.910217658,579342.083569342,266.523684679064
"23",2000,"Male",311451.840462438,193481.194367931,501352.336821825,233.098966601781
"24",2001,"Male",68459.6637195432,19193.6044315218,244181.626922346,51.2370607386266
"25",2002,"Male",279009.190187181,158033.260602917,492593.318089579,208.818011184221
"26",2003,"Male",139664.723883861,59522.2814746697,327713.162437435,104.528850302227
"27",2004,"Male",446413.084153767,261378.283745079,762437.63960911,334.107605333952
"28",2005,"Male",636029.356960562,448080.597343144,902813.79134538,476.021543541923
"29",2006,"Male",286645.058673424,119763.087561161,686066.060378832,214.532901327775
"30",2007,"Male",775295.867501487,556611.506112978,1079898.05378346,580.252360226536
"31",2008,"Male",547435.540776456,368233.453306624,813846.945773463,409.715539476701
"32",2009,"Male",516587.519278738,350245.914638038,761929.415651715,386.628047291228
"33",2010,"Male",404739.93336942,268234.157490605,610714.217743203,302.918294111875
"34",2011,"Male",158102.684055249,80171.1336890196,311788.764300551,118.328317519417
"35",2012,"Male",226386.727618605,151259.109170464,338828.852840211,169.43393939141
"36",2013,"Male",170757.551170274,107081.295929162,272299.107221841,127.799561749715
"37",2014,"Male",135131.005771991,84670.3194913053,215664.577985028,101.135693256914
"38",2015,"Male",149044.470480789,93597.1113177883,237339.100193758,111.548905908526
"39",2016,"Male",107581.071951047,58876.7762079032,196574.741138472,80.5165789371061
"40",2017,"Male",124367.976187261,66986.5813529135,230902.864253162,93.0803513139033
"41",2018,"Male",237280.911780581,125229.433265644,449592.636708593,177.587440961205
"42",2019,"Male",519696.361594838,45967.7802174471,5875513.3917126,388.95478881934
